State,"Population estimates, July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Population, Census, April 1, 2010","Persons under 5 years, percent, July 1, 2016,  (V2016)","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2016,  (V2016)","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Persons 65 years and over, percent, April 1, 2010","Female persons, percent,  July 1, 2016,  (V2016)","Female persons, percent, April 1, 2010","White alone, percent, July 1, 2016,  (V2016)","Black or African American alone, percent, July 1, 2016,  (V2016)","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Asian alone, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Two or More Races, percent, July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Median gross rent, 2011-2015","Building permits, 2016","Households, 2011-2015","Persons per household, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median household income (in 2015 dollars), 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons in poverty, percent","Total employer establishments, 2015","Total employment, 2015","Total annual payroll, 2015 ($1,000)","Total employment, percent change, 2014-2015","Total nonemployer establishments, 2015","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Hawaii,1428557,1360301,0.05,1360301,0.064,0.064,0.216,0.223,0.171,0.143,0.498,0.499,0.258,0.022,0.004,0.377,0.102,0.237,0.104,0.221,110238,0.177,537114,519508,0.569,515300,2270,505,1438,3369,450572,3.020,0.851,0.252,0.910,0.308,0.065,0.042,0.615,0.588,9536706,8136947,D,9607982,18901745,13576,26.80,69515,29822,0.093,31915,523677,22068393,0.009,104707,118454,60409,44453,74208,38510,11148,101334,211.80,6422.63,"""15"""
Idaho,1683140,1567650,0.074,1567582,0.068,0.078,0.260,0.274,0.151,0.124,0.499,0.499,0.933,0.008,0.018,0.015,0.002,0.024,0.123,0.824,119711,0.061,700825,667796,0.689,162900,1189,340,743,12165,589320,2.690,0.824,0.106,0.895,0.259,0.090,0.118,0.626,0.568,2680225,7895614,20201432,17906012,20444278,12812,20.20,47583,23399,0.144,44757,546524,21119617,0.030,122221,146642,70438,45121,10592,130973,12804,124314,19.00,82643.12,"""16"""
Illinois,12801539,12831574,-0.002,12830632,0.060,0.065,0.229,0.244,0.146,0.125,0.509,0.510,0.772,0.147,0.006,0.055,0.001,0.019,0.170,0.617,668933,0.140,5326970,5296715,0.664,173800,1636,574,907,22603,4786388,2.630,0.868,0.227,0.879,0.323,0.071,0.074,0.656,0.607,27937381,83431778,281037755,295456992,166634514,12942,28.40,57574,30494,0.130,318266,5427549,289183546,0.022,968330,1135017,609648,417500,311684,795129,89110,1006885,231.10,55518.93,"""17"""
Indiana,6633053,6484136,0.023,6483802,0.064,0.067,0.238,0.248,0.149,0.130,0.507,0.508,0.856,0.097,0.004,0.022,0.001,0.020,0.068,0.796,426493,0.048,2854546,2795541,0.690,124200,1102,378,745,18713,2501937,2.550,0.850,0.083,0.878,0.241,0.097,0.094,0.639,0.590,13076602,42493117,242763842,81173422,85857962,13133,23.30,49255,25346,0.141,145116,2660503,113315432,0.022,403546,479059,253533,162798,61252,405090,45174,412543,181.00,35826.11,"""18"""
Iowa,3134693,3046869,0.029,3046355,0.064,0.066,0.233,0.239,0.164,0.149,0.503,0.505,0.914,0.037,0.005,0.025,0.001,0.018,0.058,0.862,211066,0.047,1380162,1336417,0.715,129200,1171,434,697,14317,1236409,2.420,0.848,0.074,0.915,0.267,0.079,0.050,0.676,0.633,5468687,18583828,116668830,62318301,44905624,14607,18.90,53183,27950,0.118,80952,1338418,55079743,0.017,207167,259121,135382,82345,14707,236561,25889,217779,54.50,55857.13,"""19"""
Kansas,2907289,2853129,0.019,2853118,0.067,0.072,0.246,0.255,0.150,0.132,0.502,0.504,0.866,0.062,0.012,0.030,0.001,0.029,0.116,0.763,198396,0.069,1259864,1233215,0.667,132000,1282,455,757,9807,1113472,2.530,0.835,0.113,0.902,0.310,0.086,0.101,0.663,0.616,4873411,18248370,86076260,60226324,38276461,13263,19.10,52205,27706,0.121,74526,1189876,51259676,0.010,195777,239118,125169,77194,26127,204562,21610,203401,34.90,81758.72,"""20"""
Kentucky,4436974,4339344,0.022,4339367,0.062,0.065,0.228,0.236,0.156,0.133,0.507,0.508,0.880,0.083,0.003,0.015,0.001,0.019,0.035,0.850,297312,0.034,1965556,1927164,0.672,123200,1112,339,675,12714,1708499,2.500,0.847,0.051,0.842,0.223,0.129,0.060,0.591,0.549,7500115,26264745,129284438,71745899,54869978,12526,23.00,43740,24063,0.185,91845,1579477,63741066,0.029,280835,331546,184154,106011,27258,296155,33208,282704,109.90,39486.34,"""21"""
Louisiana,4681666,4533479,0.033,4533372,0.066,0.069,0.238,0.247,0.144,0.123,0.511,0.510,0.632,0.326,0.008,0.018,0.001,0.016,0.050,0.590,281989,0.040,2036975,1964981,0.658,144100,1200,317,788,14503,1727919,2.600,0.863,0.085,0.834,0.225,0.110,0.119,0.604,0.560,11697949,27951792,271191050,68012838,61396364,13342,25.10,45047,24981,0.202,105575,1724973,76684760,0.004,358223,414291,215111,151114,126100,277676,42211,354460,104.90,43203.90,"""22"""
Maine,1331479,1328364,0.002,1328361,0.049,0.052,0.191,0.207,0.194,0.159,0.510,0.511,0.948,0.015,0.007,0.012,Z,0.017,0.016,0.935,119058,0.035,730705,721830,0.712,173800,1336,477,777,4010,553284,2.340,0.859,0.066,0.916,0.290,0.119,0.099,0.634,0.599,2901347,10297043,16044543,12961262,21521714,16192,23.60,49331,27655,0.125,40801,500549,20413159,0.016,113012,139570,79243,42067,4339,131322,15689,115839,43.10,30842.92,"""23"""
Maryland,6016447,5773786,0.042,5773552,0.061,0.063,0.224,0.234,0.146,0.123,0.516,0.516,0.593,0.307,0.006,0.066,0.001,0.028,0.098,0.515,403900,0.145,2447127,2378814,0.668,286900,1951,582,1230,17044,2166389,2.670,0.866,0.172,0.894,0.379,0.071,0.070,0.679,0.641,12516782,40821901,39532989,60734191,76379707,12980,32.30,74551,36897,0.097,137204,2239817,118496858,0.010,475518,531953,276630,209119,203394,314902,50976,462232,594.80,9707.24,"""24"""
